obs,id,time..2,elapsed,date,hhmmss,averaging,TIME..7,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo..38,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID..64,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID..72,Duration,Fo..74,F1,F2,Fmax,T@HIR,T@F1,T@F2,T@Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME..90,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time..141,hhmmss..142,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_hum,AccH2O_des,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
58,r3_ln_ni,1634320715,9360.5,10/15/21 12:58,12:58:35,none,1634320715,0.002492874,2.492873549,16.07361182,1488.21,1185.42899,107.9367829,135.505881,0.104378972,2.778146222,0.102248247,0.064092969,241.7725505,27.55933252,25.9789,3.370047783,34.2065281,1.205905005,3.525365104,2.164142778,-109.9357235,114.3535325,8.826540905,255.0169004,2,0,1,0,48467.25269,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-160-20211015-12_58_35,10388.6,911.76412,1092.85,0.165700581,0.5,1261.395908,16.07361182,104.5070174,0.01353549,-1,NA,-,0,NA,NA,NA,NA,0.165700581,NA,NA,NA,160,300,300,300,10388.6,1060.27,-0.00737541,0.18,-,-,-,-,-,-,-,-,-,-,1500.22,1261.395908,0.840807287,0.161158064,6,0.5,0: Broadleaf,2,1634320715,1488.21,1500.08,13.244,11.7681,1479.43,14.0071,1000.01,90.9496,0.10333,26.7424,25.9789,999.9,0,0,10072.5,0,21.9785,-11.8713,1508.19,1517.95,1.4759,1500.08,11.7681,1.20454,1.07031,9.65778,7.91031,1500.22,0.972997,0.0270027,0,910.297,5.00005,13784.7,12459.9,41.687,43.5,42.75,43.062,43.75,1454.84,40.37,0,121.5999999,0,911.76412,-10.01969231,-151.1538464,13801.008,15,1634320667,12:57:46,1634320667,1634320666,60,0.539,0.006,8.783,-0.763,1500,12,0.33,0.05,-11.9077075,0.431949343,0.051998983,0,1.5054785,-0.168389268,0.016204011,1,1,2,2-Jan,3.82286,2.70719,0.214181,0.215424,0.0707544,0.062059,22957.7,19368.1,26224.9,24084,41620.5,37282.6,47419.1,42931.2,2.69075,1.72368,0.114575,0,24.0991,999.9,34.929,27.372,14.0497,55.6203,48.4375,3,-0.22595,-0.504575,20.2463,5.23406,11.986,4.9573,3.304,1150.2,9999,2722.8,15.1,1.86814,1.86386,1.87149,1.86222,1.86172,1.86817,1.85833,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,8.78,-0.7631,8.783333333,0,0,0,-0.763085,0,0,0,-1,-1,-1,-1,0.8,0.8,4.21997,2.2644,2.64893,2.89795,2.84424,2.31934,32.3991,14.6311,18,1185.35,356.922,25.0001,24.443,30.0001,24.3443,24.2867,84.4397,0,100,25,1500,22.444,109.656,99.982
59,r3_ln_ni,1634320817,9462.5,10/15/21 13:00,13:00:17,none,1634320817,0.002058559,2.05855934,15.82311722,1559.3,1197.903541,109.0672654,141.9718543,0.083804166,2.772378301,0.082421852,0.051635954,241.7645549,27.72164483,26.0941,3.393092757,33.27997776,1.176136614,3.534066707,2.216956143,-90.78246689,103.1603696,7.98542701,262.1278846,2,0,1,0,48302.94396,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-161-20211015-13_00_17,10388.3,904.7143462,1089.16,0.169346702,0.5,1261.3539,15.82311722,106.8030614,0.013337349,-1,NA,-,0,NA,NA,NA,NA,0.169346702,NA,NA,NA,161,300,300,300,10388.3,1059.4,-0.00737528,1.52,-,-,-,-,-,-,-,-,-,-,1500.17,1261.3539,0.840807308,0.161158105,6,0.5,0: Broadleaf,2,1634320817,1559.3,1570.72,12.9177,11.6985,1550.18,13.6817,999.984,90.9454,0.103054,26.7843,26.0941,999.9,0,0,10038.8,0,21.9785,-11.4156,1579.71,1589.31,1.21915,1570.72,11.6985,1.1748,1.06393,9.28603,7.82254,1500.17,0.973003,0.0269971,0,904.548,5.00005,13694,12459.5,41.687,43.5,42.75,43.125,43.75,1454.8,40.37,0,101.3000002,0,904.7143462,-2.887965809,-35.82564102,13697.43462,15,1634320790,12:59:50,1634320789,1634320790,61,0.336,-0.001,9.119,-0.764,1573,12,0.26,0.06,-11.56284,0.017112946,0.050085476,1,1.24565675,-0.142401163,0.013709729,1,2,2,2-Feb,3.82283,2.70662,0.220164,0.22133,0.0695109,0.0617785,22781.9,19221.8,26223.6,24083.2,41675.5,37292.9,47417.1,42930,2.6906,1.72357,0.119574,0,24.1326,999.9,34.806,27.372,13.9998,55.8003,48.4455,3,-0.225152,-0.488638,20.2464,5.23361,11.986,4.957,3.304,1152.9,9999,2722.8,15.1,1.86815,1.86384,1.87149,1.86221,1.86172,1.86814,1.85831,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,9.12,-0.764,9.1185,0,0,0,-0.76404,0,0,0,-1,-1,-1,-1,0.5,0.5,4.36646,0,2.64893,2.89917,2.84424,2.30225,32.377,14.6224,18,1185.43,356.953,25.0001,24.4553,30.0001,24.3566,24.2989,100,0,100,25,2000,22.444,109.651,99.9791
60,r3_ln_ni,1634320939,9584.5,10/15/21 13:02,13:02:19,none,1634320939,0.001851095,1.851095015,6.933336599,395.384,231.0876535,21.04120078,36.00085942,0.074100344,2.760369049,0.073012749,0.045729355,241.7543999,27.79718396,26.1707,3.408492137,32.7357426,1.157910611,3.537144783,2.250581526,-81.63329017,93.51661296,7.27374541,260.9114681,0,0,1,0,47973.3526,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-162-20211015-13_02_19,10387.5,824.769,960.149,0.140998949,0.5,1261.3032,6.933336599,88.92121286,0.006289793,-1,NA,-,0,NA,NA,NA,NA,0.140998949,NA,NA,NA,162,300,300,300,10387.5,940.74,-0.00737451,3.56,-,-,-,-,-,-,-,-,-,-,1500.11,1261.3032,0.840807141,0.161157782,6,0.5,0: Broadleaf,2,1634320939,395.384,399.983,12.7169,11.6204,390.52,13.4869,1000.03,90.9489,0.103999,26.7991,26.1707,999.9,0,0,9967.5,0,21.9785,-0.344604,404.789,404.686,1.10246,399.983,11.6204,1.15713,1.05687,9.06119,7.72484,1500.11,0.973003,0.0269971,0,826.847,5.00005,12513.8,12459,41.75,43.5,42.75,43.125,43.812,1454.75,40.36,0,121.8,0,824.769,14.55569231,227.5042737,12483.58077,15,1634320965,13:02:45,1634320959,1634320965,62,-4.254,-0.006,4.864,-0.77,400,12,0.55,0.1,-0.311425146,-0.281144195,0.046257422,0,1.102883171,0.002489477,0.00080613,1,1,2,2-Jan,3.82289,2.70696,0.0874171,0.0889827,0.0687654,0.0614694,26655.5,22485.9,26222.7,24083.6,41703.3,37302.5,47414.3,42930.2,2.69243,1.71345,0.122555,0,24.1604,999.9,34.629,27.362,13.92,56.1403,48.5657,3,-0.224802,-0.478391,20.2464,5.23361,11.986,4.957,3.304,1156.7,9999,2722.8,15.2,1.86813,1.86386,1.87149,1.86222,1.86172,1.86816,1.85834,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.864,-0.77,9.1185,0,0,0,-0.76404,0,0,0,-1,-1,-1,-1,2.5,2.5,1.51245,2.31934,2.64893,2.89917,2.84424,2.29248,32.3549,14.5873,18,1188,351.954,25,24.4615,30.0001,24.3667,24.3076,30.3229,0,100,25,400,22.444,109.645,99.98
61,r15_hn_ni,1634321932,10577,10/15/21 13:18,13:18:51,none,1634321932,0.002758348,2.758347627,7.028286509,395.134,273.7675394,24.92419129,35.97356875,0.106734722,2.771590573,0.104502691,0.065510834,241.7272679,27.42557334,26.6913,3.514778208,33.41348917,1.173615216,3.512399468,2.341162992,-121.6431304,-1.718352896,-0.133380365,118.2324043,0,0,1,0,48298.1179,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-163-20211015-13_18_52,10422,1334.573077,1469.05,0.091540059,0.5,1261.1604,7.028286509,57.72334845,0.006365793,-1,NA,-,0,NA,NA,NA,NA,0.091540059,NA,NA,NA,163,300,300,300,10422,1455.22,-0.00739917,-2.03,-,-,-,-,-,-,-,-,-,-,1499.94,1261.1604,0.840807232,0.161157958,6,0.5,0: Broadleaf,2,1634321932,395.134,400.005,12.891,11.2573,390.127,13.6635,999.984,90.9376,0.103841,26.6798,26.6913,999.9,0,0,10035,0,23.4252,-4.87189,400.294,404.56,1.63365,400.005,11.2573,1.17227,1.02371,9.25404,7.25833,1499.94,0.973,0.0270002,0,1331.93,5.00005,20058.9,12457.6,41.562,43.437,42.562,42.937,43.625,1454.58,40.36,0,991.9000001,0,1334.573077,-21.97743586,-328.6974354,20100.8,15,1634321896,13:18:15,1634321893,1634321896,64,0.022,0,5.006,-0.773,400,11,0.45,0.06,-4.878513902,-0.067739164,0.02291745,1,1.629614634,0.034162787,0.00348139,1,2,2,2-Feb,3.82283,2.70738,0.0873354,0.0889671,0.0694299,0.0600065,26648.5,22487.2,26213.6,24084.6,41658.8,37363.7,47397.9,42933.4,2.69305,1.71373,0.159912,0,24.0692,999.9,33.812,27.321,13.5608,55.4003,48.5337,3,-0.224383,-0.511299,20.2466,5.23511,11.986,4.9573,3.304,1185.7,9999,2722.8,15.4,1.86813,1.86381,1.87149,1.86219,1.86172,1.86816,1.85836,1.86479,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.007,-0.7725,5.006285714,0,0,0,-0.77255,0,0,0,-1,-1,-1,-1,0.6,0.6,1.51245,2.32422,2.64893,2.90649,2.84424,2.32544,32.3107,14.4122,18,1189.27,352.25,25.0003,24.4738,30,24.3891,24.3322,30.3076,0,100,25,400,22.444,109.607,99.9863
62,r15_hn_ni,1634322054,10699,10/15/21 13:20,13:20:53,none,1634322054,0.002916739,2.91673892,5.858291518,295.954,200.8460398,18.28521286,26.94393124,0.112894899,2.758872899,0.110389813,0.069214075,241.7192879,27.40323781,26.7084,3.518317891,33.41215917,1.174819641,3.516144033,2.34349825,-128.6281864,-1.561731735,-0.12180353,111.4075663,1,0,1,0,47948.55891,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-164-20211015-13_20_54,10421.4,1296.101538,1423.86,0.089726842,0.5,1261.1184,5.858291518,56.57808584,0.005438261,-1,NA,-,0,NA,NA,NA,NA,0.089726842,NA,NA,NA,164,300,300,300,10421.4,1412.45,-0.00739879,-2.28,-,-,-,-,-,-,-,-,-,-,1499.89,1261.1184,0.840807259,0.16115801,6,0.5,0: Broadleaf,2,1634322054,295.954,299.987,12.9043,11.1768,291.552,13.6765,999.977,90.9369,0.104043,26.6979,26.7084,999.9,0,0,9960,0,23.4252,-4.03238,299.823,303.378,1.72744,299.987,11.1768,1.17347,1.01638,9.2692,7.15339,1499.89,0.973,0.0270002,0,1293.75,5.00005,19492,12457.1,41.562,43.437,42.625,43,43.625,1454.53,40.36,0,121.7,0,1296.101538,-16.03897438,-229.9555558,19522.94615,15,1634322018,13:20:17,1634322009,1634322018,65,-0.604,0,4.403,-0.772,300,11,0.38,0.03,-4.0465805,-0.054584465,0.034030372,1,1.72007825,0.045973171,0.0044787,1,2,2,2-Feb,3.82282,2.70694,0.0692775,0.0709162,0.0694802,0.0596828,27175.6,22932.9,26213.5,24084.9,41656.5,37376.7,47398.4,42934,2.69155,1.71303,0.159226,0,24.0975,999.9,33.634,27.332,13.4982,56.1603,48.5577,3,-0.225249,-0.499602,20.2466,5.23346,11.986,4.95645,3.304,1189.3,9999,2722.8,15.5,1.86813,1.86381,1.87149,1.86219,1.86172,1.86816,1.85836,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.402,-0.7722,4.4029,0,0,0,-0.77221,0,0,0,-1,-1,-1,-1,0.8,0.6,1.20361,2.33398,2.64893,2.90649,2.84424,2.31445,32.3107,14.3947,18,1187.19,351.859,24.9998,24.4655,30.0001,24.3809,24.3254,24.1317,0,100,25,300,22.444,109.608,99.9877
63,r15_hn_ni,1634322132,10777.5,10/15/21 13:22,13:22:12,none,1634322132,0.003021104,3.021103504,4.114055223,197.178,133.0557783,12.11270404,17.95005664,0.117422291,2.767030166,0.114722634,0.07193903,241.7081159,27.36311695,26.6855,3.51357832,33.52262328,1.178044726,3.514178219,2.335533594,-133.2306645,0.432610778,0.03363552,108.9436977,0,0,1,0,48172.19414,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-165-20211015-13_22_12,10421,1263.3928,1382.22,0.08596837,0.5,1261.0596,4.114055223,54.20561897,0.004055364,-1,NA,-,0,NA,NA,NA,NA,0.08596837,NA,NA,NA,165,300,300,300,10421,1375.53,-0.00739853,-0.26,-,-,-,-,-,-,-,-,-,-,1499.82,1261.0596,0.840807297,0.161158083,6,0.5,0: Broadleaf,2,1634322132,197.178,200.004,12.9406,11.1513,193.395,13.7146,999.947,90.9307,0.104084,26.6884,26.6855,999.9,0,0,10008.8,0,23.4252,-2.20671,200.391,202.26,1.79106,200.004,11.1513,1.17686,1.014,9.31199,7.11906,1499.82,0.973,0.0270002,0,1264.3,5.00005,19037.9,12456.6,41.625,43.437,42.625,43,43.687,1454.46,40.36,0,78.20000005,0,1263.3928,7.310000002,126.4153845,19026.096,15,1634322161,13:22:41,1634322149,1634322161,66,-0.62,-0.002,3.783,-0.774,200,11,0.56,0.05,-2.2410475,-0.010742139,0.029206272,1,1.78376425,0.044497598,0.004339379,1,2,2,2-Feb,3.82278,2.70738,0.0487353,0.0502735,0.0696219,0.059577,27773.9,23442.6,26212.1,24085.2,41647.2,37380.7,47395.8,42934.2,2.69565,1.71305,0.157952,0,24.0955,999.9,33.561,27.332,13.4699,56.0003,48.5697,3,-0.225818,-0.514104,20.2467,5.23526,11.986,4.95675,3.304,1191.8,9999,2722.8,15.5,1.86813,1.86381,1.87149,1.8622,1.86172,1.86815,1.85834,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,3.783,-0.774,4.4029,0,0,0,-0.77221,0,0,0,-1,-1,-1,-1,2.1,1.9,0.875244,2.34741,2.64893,2.90039,2.84424,2.30469,32.3107,14.386,18,1192.32,351.831,24.9996,24.4594,30,24.3769,24.3193,17.5788,0,100,25,200,22.444,109.602,99.9884
64,r15_hn_ni,1634322237,10882.6,10/15/21 13:23,13:23:57,none,1634322237,0.003166605,3.166604971,1.626223522,98.8322,73.80582448,6.719425222,8.997874926,0.124034309,2.761429431,0.121020312,0.075902391,241.7528039,27.30908648,26.6286,3.501825956,33.63463197,1.180895861,3.510952228,2.320930096,-139.6472792,6.580238911,0.512465712,109.1982293,3,0,1,0,48022.21237,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-166-20211015-13_23_57,10420.5,1220.914,1329.42,0.081619052,0.5,1261.2948,1.626223522,51.47284288,0.002082165,-1,NA,-,0,NA,NA,NA,NA,0.081619052,NA,NA,NA,166,300,300,300,10420.5,1322.34,-0.00739808,-0.26,-,-,-,-,-,-,-,-,-,-,1500.1,1261.2948,0.840807146,0.161157792,6,0.5,0: Broadleaf,2,1634322237,98.8322,99.9957,12.9709,11.0956,95.3992,13.7469,1000.01,90.9375,0.104437,26.6728,26.6286,999.9,0,0,9975,0,23.4252,-0.813164,100.486,101.118,1.87733,99.9957,11.0956,1.17973,1.00901,9.34818,7.04712,1500.1,0.973005,0.0269945,0,1221.69,5.00005,18395.3,12458.9,41.687,43.5,42.687,43.062,43.75,1454.74,40.36,0,104.5999999,0,1220.914,7.813846179,132.4846157,18377.084,15,1634322264,13:24:24,1634322254,1634322264,67,-0.35,-0.002,3.433,-0.776,100,11,0.28,0.04,-0.829219927,-0.085192486,0.025184581,1,1.87118,0.046990995,0.004582841,1,2,2,2-Feb,3.82286,2.70745,0.0252112,0.0264704,0.0697522,0.0593577,28460.7,24030.8,26212,24085.8,41640.2,37390.1,47395.3,42935.6,2.68948,1.7121,0.157036,0,24.0534,999.9,33.439,27.321,13.4105,56.0003,48.5657,3,-0.22654,-0.531604,20.2469,5.23421,11.986,4.9571,3.304,1194.8,9999,2722.8,15.5,1.86814,1.86381,1.8715,1.8622,1.86172,1.86815,1.85833,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,3.433,-0.776,3.7833,0,0,0,-0.77397,0,0,0,-1,-1,-1,-1,1.5,1.3,0.529785,2.36572,2.64893,2.90161,2.84424,2.30591,32.3107,14.3684,18,1184.24,351.308,24.9995,24.4491,30,24.367,24.3112,10.6458,0,100,25,100,22.444,109.601,99.9914
65,r15_hn_ni,1634322372,11017.6,10/15/21 13:26,13:26:12,none,1634322372,0.003378737,3.378737464,0.069102721,49.841,46.98105258,4.276957049,4.53731461,0.133134335,2.774020319,0.129683806,0.081354946,241.7400359,27.2644685,26.6068,3.497332396,33.76297788,1.186533124,3.514302347,2.310799272,-149.0023222,12.29325524,0.953020389,105.9839894,1,0,1,0,48362.82256,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-167-20211015-13_26_12,10419.8,1170.3224,1270.81,0.079073662,0.5,1261.2276,0.069102721,49.86494227,0.000847668,-1,NA,-,0,NA,NA,NA,NA,0.079073662,NA,NA,NA,167,300,300,300,10419.8,1258.03,-0.00739759,-0.96,-,-,-,-,-,-,-,-,-,-,1500.02,1261.2276,0.840807189,0.161157875,6,0.5,0: Broadleaf,2,1634322372,49.841,49.9835,13.0337,11.0329,46.4655,13.8127,1000.01,90.932,0.103786,26.689,26.6068,999.9,0,0,10050,0,23.4391,-0.142506,50.4992,50.5411,2.00079,49.9835,11.0329,1.18518,1.00324,9.4167,6.96359,1500.02,0.973005,0.0269945,0,1168.89,5.00005,17593.2,12458.2,41.625,43.5,42.75,43.062,43.75,1454.66,40.36,0,134.4000001,0,1170.3224,-12.99999997,-179.5615382,17615,15,1634322345,13:25:45,1634322343,1634322345,68,-0.058,-0.003,3.375,-0.779,50,11,0.6,0.04,-0.18946595,-0.080397906,0.025480817,1,1.98998975,0.068661951,0.006728965,1,2,2,2-Feb,3.82286,2.70744,0.0124397,0.0134385,0.0700018,0.0591028,28833.6,24354.1,26212,24087.4,41628.2,37402.1,47394.9,42938,2.69215,1.71222,0.15647,0,24.0409,999.9,33.311,27.321,13.3624,55.5503,48.5617,3,-0.228361,-0.52104,20.2468,5.23316,11.986,4.95675,3.304,1198.3,9999,2722.8,15.6,1.86813,1.86385,1.87149,1.86219,1.86172,1.86817,1.85835,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,3.376,-0.779,3.37548,0,0,0,-0.779045,0,0,0,-1,-1,-1,-1,0.5,0.5,0.355225,2.38647,2.64893,2.90039,2.84424,2.32788,32.3107,14.3509,18,1187.27,351.271,25.0002,24.4306,30,24.3504,24.2958,7.13863,0,100,25,50,22.444,109.601,99.9973
66,r15_hn_ni,1634322458,11103.6,10/15/21 13:27,13:27:38,none,1634322458,0.003519075,3.519074818,-1.699255629,-5.71994,14.15727031,1.288845653,-0.520730313,0.138813988,2.767714198,0.135058946,0.084740756,241.7027489,27.23126633,26.617,3.49943426,33.80876026,1.188442851,3.515192045,2.310991409,-155.1911995,11.3849525,0.884680459,98.78118238,7,1,1,0,48190.12456,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-168-20211015-13_27_38,10417.9,1002.68808,1060.78,0.054763401,0.5,1261.0341,-1.699255629,34.52925774,-0.00055451,-1,NA,-,0,NA,NA,NA,NA,0.054763401,NA,NA,NA,168,300,300,300,10417.9,1051.12,-0.00739614,-1.83,-,-,-,-,-,-,-,-,-,-,1499.79,1261.0341,0.840807113,0.161157728,6,0.5,0: Broadleaf,2,1634322458,-5.71994,-6.75158,13.0544,10.9705,-9.20011,13.8303,999.991,90.9338,0.103923,26.6933,26.617,999.9,0,0,10012.5,0,23.4252,1.03164,-5.7956,-6.82647,2.08396,-6.75158,10.9705,1.18709,0.997588,9.44063,6.8812,1499.79,0.973005,0.0269945,0,989.259,5.00005,14894.7,12456.3,41.687,43.5,42.75,43.062,43.75,1454.44,40.35,0,85.5,0,1002.68808,-111.0644615,-1675.515385,15097.312,15,1634322432,13:27:12,1634322422,1634322432,69,0.105,0.003,3.48,-0.776,-7,11,0.31,0.05,1.029844025,0.002144904,0.018397361,1,2.072753,0.082523077,0.017616188,1,2,2,2-Feb,3.82284,2.70726,-0.00246468,-0.00182135,0.0700718,0.0588524,29268.1,24731.1,26211.2,24087.6,41623.5,37412.4,47393.6,42938.7,2.68615,1.71203,0.155985,0,24.059,999.9,33.164,27.321,13.3012,55.6203,48.5777,3,-0.228681,-0.516664,20.2467,5.23301,11.986,4.9569,3.304,1201,9999,2722.8,15.6,1.86815,1.86386,1.87149,1.86232,1.86172,1.86818,1.85837,1.86479,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,3.48,-0.7759,3.480172,0,0,0,-0.775815,0,0,0,-1,-1,-1,-1,0.6,0.4,0.032959,4.99756,2.64893,2.89795,2.84424,2.32178,32.3328,14.3159,18,1179.43,351.102,24.9997,24.4204,30.0001,24.3396,24.2851,0,0,100,25,0,22.444,109.598,99.9986
67,r15_hn_ni,1634322561,11206.6,10/15/21 13:29,13:29:21,none,1634322561,0.003704308,3.704308237,7.171878691,394.927,300.8258838,27.38550684,35.95194644,0.147497946,2.764473958,0.143261295,0.089908819,241.7251085,27.1553473,26.5548,3.486634132,33.99742226,1.193260839,3.509856807,2.293373292,-163.3599932,16.79661867,1.306154338,96.46788827,0,0,1,0,48105.8627,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-169-20211015-13_29_21,10419.2,1110.607692,1226.62,0.094578849,0.5,1261.151708,7.171878691,59.63913844,0.006479695,-1,NA,-,0,NA,NA,NA,NA,0.094578849,NA,NA,NA,169,300,300,300,10419.2,1209.03,-0.00739717,-2.35,-,-,-,-,-,-,-,-,-,-,1499.93,1261.151708,0.840807043,0.161157593,6,0.5,0: Broadleaf,2,1634322561,394.927,400.108,13.1078,10.9143,389.928,13.8778,999.978,90.9303,0.10411,26.6675,26.5548,999.9,0,0,9993.75,0,23.4252,-6.69983,398.631,404.523,2.18773,400.108,10.9143,1.19137,0.992437,9.49413,6.80583,1499.93,0.973005,0.0269945,0,1109.52,5.00005,16745.3,12457.5,41.687,43.5,42.75,43.062,43.75,1454.57,40.35,0,102.6000001,0,1110.607692,-6.754871801,-96.83418819,16760.48462,15,1634322593,13:29:53,1634322589,1634322593,70,1.519,0.006,4.999,-0.77,400,11,0.4,0.03,-6.70496675,0.094630582,0.059980255,1,2.1742105,0.078050882,0.007691956,1,2,2,2-Feb,3.82282,2.70728,0.0873107,0.0889891,0.0702528,0.0586243,26648.1,22491.1,26212.1,24089.2,41619,37425.4,47395.2,42940.8,2.69557,1.71502,0.15489,0,24.0146,999.9,33.012,27.332,13.2509,56.0003,48.5417,3,-0.23029,-0.512546,20.2466,5.23286,11.986,4.9559,3.304,1203.9,9999,2722.8,15.6,1.86813,1.86383,1.87148,1.86218,1.86172,1.86813,1.85832,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.999,-0.77,3.480172,0,0,0,-0.775815,0,0,0,-1,-1,-1,-1,2.3,2.1,1.51855,2.35352,2.64893,2.90039,2.84424,2.32056,32.3549,14.3334,18,1191.04,352.483,24.9999,24.4049,30.0001,24.324,24.2684,30.4451,0,100,25,400,22.444,109.601,100.004
